,Metric,Value (average),Value (std)
0,R2,0.6525410295242031,0.04681357752337011
1,Accuracy,0.8377655752152399,0.02082353326886501
2,Precision,0.84753231484517,0.02261594919430967
3,Sensitivity,0.8998061109453949,0.02151856971193071
4,Specificity,0.7373979999999999,0.03995692828993924
5,F1 score,0.8726499478178634,0.0167153608280284
6,F1 score (weighted),0.8358657134529004,0.021223473385586906
7,F1 score (macro),0.8241848353730873,0.022800173524202907
8,Balanced Accuracy,0.8186006656672171,0.023151553244561023
9,MCC,0.6520591034198479,0.045103271701963016
10,NPV,0.8198799999999999,0.037018065087969454
11,ROC_AUC,0.8186006656672171,0.023151553244561023
